oid_agina,ms_tahana,k_rechov,shem_rechov,ms_bait,teur_mikum,x_coord,y_coord,lon,lat,date_sde,Shape
1,311,496,אבן גבירול,180,אבן גבירול 180-182,179710.08,666772.67,34.783391,32.093573,19/08/2014 02:18:01,
2,312,218,נמל תל אביב,12,נמל תל אביב 12,178693.08,666883.67,34.772613,32.09454,19/08/2014 02:18:01,
3,313,187,דיזנגוף,280,דיזנגוף 280,179054.08,666675.67,34.776445,32.092676,19/08/2014 02:18:01,
4,314,197,נורדאו,101,נורדאו 99-101 פינת אבן גבירול בשדרה תאום אד' מוריה,179636.08,666570.67,34.782615,32.091749,19/08/2014 02:18:01,
5,315,508,דה האז,30,דה האז 30 במדרכה,180001.08,666511.67,34.786484,32.09123,19/08/2014 02:18:01,
6,316,472,ויצמן,60,ויצמן 60,180406.08,666453.67,34.790776,32.09072,19/08/2014 02:18:01,
7,317,478,פנקס דוד צבי,69, פנקס  69 במדרכה צמוד לכביש,180761.08,666523.67,34.794534,32.091364,19/08/2014 02:18:01,
8,318,25,בן יהודה,192,בן יהודה 192,178806.08,666289.67,34.773835,32.089187,19/08/2014 02:18:01,
9,319,496,אבן גבירול,124,אבן גבירול 124,179596.08,666046.67,34.782213,32.087023,19/08/2014 02:18:01,
10,320,233,השל"ה,1,השל"ה 1 במדרכה,179300.08,666393.67,34.779063,32.090142,19/08/2014 02:18:01,
11,321,567,הא באייר,38,ה' באייר 2 ממול בכיכר (גינה),180179,666028,34.788388,32.086874,19/08/2014 02:18:01,
12,322,531,גלוסקין,1,שדרות הציונות 1,180582,665969.013,34.792659,32.086356,19/08/2014 02:18:01,
13,323,574,תש"ח,2,תש"ח 2,180018.08,665785.67,34.786694,32.084683,19/08/2014 02:18:01,
14,324,496,אבן גבירול,106,אבן גבירול 106 -בית הדואר במדרכה,179548.08,665727.67,34.781718,32.084144,19/08/2014 02:18:01,
15,325,505,הלסינקי,3,הלסינקי 3 במפרץ חניה,180503.08,665675.67,34.791835,32.083708,19/08/2014 02:18:01,
16,326,1285,1285,5,תחנת רכבת סבידור - מערבית לשער יציאה (קרוסלה),180953.08,665660.67,34.796602,32.083588,19/08/2014 02:18:01,
17,328,1269,פעמוני יוסף,2,בבלי פעמוני 2 בכביש מפרץ חניה,181011.08,666924.67,34.797166,32.094988,19/08/2014 02:18:01,
18,329,1241,פרי אליעזר,10,טילת צמוד למרפסת צפונית מלון קרלטון פרי אליעזר 10 מאחור,178389.08,666017.67,34.769429,32.08672,19/08/2014 02:18:01,
19,330,204,בן גוריון,68,שדרות בן גוריון 68 במרכז הגינה בצמוד לשביל אופניים,179134.08,665591.67,34.777338,32.082904,19/08/2014 02:18:01,
20,331,496,אבן גבירול,76,כיכר רבין מול בית 76,179490,665401,34.781116,32.081197,19/08/2014 02:18:01,
21,332,481,דוד המלך,30,דוד המלך 30 מול הרבנות בשדרה,179821.08,665255.67,34.784629,32.079897,19/08/2014 02:18:01,
22,333,472,ויצמן,15,ויצמן 15 במדרכה -איכילוב,180207,665376,34.788711,32.080995,19/08/2014 02:18:01,
23,334,25,בן יהודה,86,בן יהודה 86   במדרכה,178510.08,665417.67,34.770736,32.081314,19/08/2014 02:18:01,
24,335,187,דיזנגוף,128,דיזנגוף 126 /גורדון במדרכה צמוד לכביש מעמוד תאורה צפונה,178804.08,665423.67,34.77385,32.081378,19/08/2014 02:18:01,
25,336,204,בן גוריון,55, בן גוריון 55 פינת דיזנגוף במרכז השדרה  צמוד לשביל אופניים,178899.08,665741.67,34.774843,32.084249,19/08/2014 02:18:01,
26,337,193,ארלוזורוב,62,ארלוזורוב 62 במדרכה,179135.08,665965.67,34.777333,32.086277,19/08/2014 02:18:01,
27,341,200,הרברט סמואל,90,הרברט סמואל 90 ממול בטיילת,178098.08,664995.67,34.766391,32.077494,19/08/2014 02:18:01,
28,342,788,שאול המלך,21,שאול המלך 21 קאמרי -מימין למדרגות כניסה מערבית,179895.08,664824.67,34.78543,32.076013,19/08/2014 02:18:01,
29,343,323,ריינס,2,ריינס 2 כיכר דיזנגוף במדרכה,178871.08,665066.67,34.774575,32.078161,19/08/2014 02:18:01,
30,344,192,נצח ישראל,4,נצח ישראל 4 פינת מסריק - תחנה בחניה בכביש,179233.08,665030.67,34.77841,32.077848,19/08/2014 02:18:01,
31,345,472,ויצמן,1,ויצמן 1 -  בית המשפט במדרכה תחילת קו בנין,180177.08,664942.67,34.788412,32.077087,19/08/2014 02:18:01,
32,346,496,אבן גבירול,28,אבן גבירול 28 לונדון מיניסטור דרום לכניסה,179561.08,664697.67,34.781898,32.074856,19/08/2014 02:18:01,
33,347,26,בוגרשוב,46,בוגרשוב46-45 פינת פינסקר במדרכה,178571.08,664827.67,34.771407,32.075995,19/08/2014 02:18:01,
34,348,350,בן ציון,1,שדרות בן ציון  1 במדרכה בין העצים-,178975.08,664607.67,34.775696,32.074025,19/08/2014 02:18:01,
35,350,54,בגין מנחם,125,בגין 125 במדרכה- בניין הממשלה,180306,664468,34.789797,32.072811,19/08/2014 02:18:01,
36,354,25,בן יהודה,1,בן יהודה 1 במדרכה,178270,664510,34.768232,32.07312,19/08/2014 02:18:01,
37,355,200,הרברט סמואל,32,הרברט סמואל 30 ממול בטיילת,177864.08,664283.67,34.763943,32.071065,19/08/2014 02:18:01,
38,357,8,רוטשילד,140,רוטשילד 140 בשדרה פינת מרמורק  ( כיכר הבימה),179305.08,664337.67,34.779202,32.071601,19/08/2014 02:18:01,
39,358,658,שפרינצק,1,סינימטק מול שפרינצק 1,179642.08,664233.67,34.782775,32.070675,19/08/2014 02:18:01,
40,359,445,קפלן אליעזר,18,קפלן פינת ארניה- קריה שער רבין,179929,664518,34.785802,32.073249,19/08/2014 02:18:01,
